XRay (ID 01) / K¹t dla kryszta³u ?_c	XRay (ID 01) / Impuls Imp
?_c/°	Imp/# / s

10,0	387
10,1	387
10,2	386
10,3	387
10,4	392
10,5	387
10,6	404
10,7	404
10,8	404
10,9	410
11,0	412
11,1	399
11,2	427
11,3	428
11,4	413
11,5	421
11,6	426
11,7	404
11,8	410
11,9	424
12,0	418
12,1	415
12,2	409
12,3	406
12,4	415
12,5	421
12,6	418
12,7	390
12,8	386
12,9	396
13,0	396
13,1	377
13,2	369
13,3	358
13,4	335
13,5	345
13,6	331
13,7	329
13,8	324
13,9	316
14,0	324
14,1	318
14,2	315
14,3	321
14,4	305
14,5	319
14,6	313
14,7	309
14,8	325
14,9	333
15,0	320
15,1	318
15,2	328
15,3	416
15,4	502
15,5	408
15,6	367
15,7	379
15,8	605
15,9	888
16,0	605
16,1	353
16,2	320
16,3	314
16,4	321
16,5	303
16,6	276
16,7	275
16,8	279
16,9	270
17,0	276
17,1	264
17,2	264
17,3	257
17,4	278
17,5	303
17,6	333
17,7	361
17,8	381
17,9	504
18,0	1254
18,1	1557
18,2	886
18,3	828
18,4	829
18,5	1077
18,6	2564
18,7	2234
18,8	858
18,9	755
19,0	573
19,1	340
19,2	291
19,3	294
19,4	275
19,5	271
19,6	271
19,7	265
19,8	262
19,9	257
20,0	252
20,1	247
20,2	250
20,3	243
20,4	242
20,5	235
20,6	261
20,7	297
20,8	289
20,9	256
21,0	257
21,1	272
21,2	315
21,3	401
21,4	777
21,5	2909
21,6	3721
21,7	2055
21,8	894
21,9	376
22,0	245
22,1	208
22,2	192
22,3	172
22,4	184
22,5	177
22,6	169
22,7	162
22,8	156
22,9	164
23,0	162
23,1	161
23,2	152
23,3	145
23,4	146
23,5	140
23,6	139
23,7	148
23,8	141
23,9	135
24,0	133
24,1	129
24,2	131
24,3	119
24,4	129
24,5	140
24,6	187
24,7	229
24,8	179
24,9	126
25,0	119
25,1	111
25,2	117
25,3	103
25,4	102
25,5	99
25,6	100
25,7	99
25,8	101
25,9	96
26,0	88
26,1	88
26,2	84
26,3	97
26,4	91
26,5	86
26,6	83
26,7	76
26,8	79
26,9	82
27,0	79
27,1	80
27,2	79
27,3	67
27,4	68
27,5	70
27,6	65
27,7	64
27,8	62
27,9	71
28,0	57
28,1	64
28,2	55
28,3	64
28,4	61
28,5	56
28,6	59
28,7	53
28,8	51
28,9	55
29,0	58
29,1	55
29,2	53
29,3	52
29,4	50
29,5	55
29,6	53
29,7	50
29,8	45
29,9	51
30,0	53
